game_id,teamAttack,teamDefense,date,Pass,Ruck,Clear
0,ENG,AUS,2022-02-07,132.0,81.0,16.0
0,AUS,ENG,2022-02-07,98.0,71.0,22.0
1,NZ,IRE,2022-02-07,112.0,79.0,20.0
1,IRE,NZ,2022-02-07,189.0,113.0,24.0
2,SCO,ARG,2022-02-07,78.0,57.0,16.0
2,ARG,SCO,2022-02-07,112.0,68.0,19.0
3,WAL,SA,2022-02-07,52.0,56.0,17.0
3,SA,WAL,2022-02-07,113.0,88.0,19.0
4,ITA,ENG,2022-02-13,112.0,68.0,22.0
4,ENG,ITA,2022-02-13,189.0,110.0,21.0
5,ENG,WAL,2022-02-26,146.0,105.0,18.0
5,WAL,ENG,2022-02-26,217.0,120.0,21.0
6,NZ,ARG,2022-03-09,134.0,98.0,26.0
6,ARG,NZ,2022-03-09,111.0,86.0,24.0
7,AUS,SA,2022-03-09,95.0,68.0,31.0
7,SA,AUS,2022-03-09,93.0,59.0,25.0
8,ENG,FRA,2022-03-19,130.0,87.0,17.0
8,FRA,ENG,2022-03-19,96.0,65.0,28.0
9,FRA,ITA,2022-05-02,143.0,99.0,27.0
9,ITA,FRA,2022-05-02,84.0,66.0,31.0
10,ENG,SCO,2022-05-02,107.0,76.0,26.0
10,SCO,ENG,2022-05-02,85.0,56.0,27.0
11,IRE,WAL,2022-05-02,229.0,114.0,19.0
11,WAL,IRE,2022-05-02,148.0,71.0,14.0
12,AUS,FRA,2022-05-11,102.0,61.0,25.0
12,FRA,AUS,2022-05-11,118.0,90.0,28.0
13,IRE,SA,2022-06-11,115.0,71.0,19.0
13,SA,IRE,2022-06-11,115.0,87.0,14.0
14,ARG,AUS,2022-07-08,90.0,45.0,20.0
14,AUS,ARG,2022-07-08,110.0,71.0,23.0
15,NZ,SA,2022-07-08,133.0,70.0,19.0
15,SA,NZ,2022-07-08,81.0,66.0,20.0
16,AUS,ENG,2022-07-16,186.0,104.0,23.0
16,ENG,AUS,2022-07-16,52.0,41.0,20.0
17,NZ,IRE,2022-07-16,164.0,108.0,16.0
17,IRE,NZ,2022-07-16,130.0,73.0,31.0
18,ARG,SCO,2022-07-16,116.0,82.0,16.0
18,SCO,ARG,2022-07-16,93.0,82.0,20.0
19,SA,WAL,2022-07-16,114.0,90.0,18.0
19,WAL,SA,2022-07-16,87.0,53.0,15.0
20,ARG,AUS,2022-08-14,138.0,80.0,18.0
20,AUS,ARG,2022-08-14,86.0,50.0,16.0
21,NZ,SA,2022-08-14,138.0,80.0,18.0
21,SA,NZ,2022-08-14,86.0,50.0,16.0
22,NZ,ARG,2022-08-27,298.0,211.0,45.0
22,ARG,NZ,2022-08-27,178.0,138.0,52.0
23,SA,AUS,2022-08-27,106.0,52.0,18.0
23,AUS,SA,2022-08-27,81.0,67.0,22.0
24,ENG,AUS,2022-09-07,87.0,79.0,21.0
24,AUS,ENG,2022-09-07,110.0,62.0,30.0
25,NZ,IRE,2022-09-07,136.0,103.0,14.0
25,IRE,NZ,2022-09-07,135.0,76.0,23.0
26,ARG,SCO,2022-09-07,126.0,86.0,14.0
