Attack Team,Defense team,Date,Level,Comp,Zone,Origin,Start,Pass,Ruck,Clear,Contest,Score,Retain NEG,Retain Static,Retain Gain 1,Retain Gain +1,Retain Score,Retain HR neg,Retain HR Static,Retain HR Gain 1,Retain HR Gain +1,Lose gain neg,Lose Static,Lose Gain 1,Lose Gain +1,Lose HR neg,Lose HR Static,Lose HR Gain 1,Lose HR Gain +1,OUTCOME
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 22,Restart,1,2,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,3,3,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 22,Kick fielded,1,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Kick fielded,1,,1,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Scrum,1,3,,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Kick fielded,1,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Win
ENG,SCO,2/5/2023,Elite Men International,6 Nations 2023,Opp 50,Turnover,1,5,2,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Lose
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Scrum,1,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Win
SCO,ENG,2/5/2023,Elite Men International,6 Nations 2023,Own 50,Free-kick,1,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Win
