game_id,teamAttack,teamDefense,date,Pass,Ruck,Clear,retainedPosession,lostPosession,Score
0,ITA,FRA,2022-02-05,84.0,66.0,31.0,18.0,42.0,10
0,FRA,ITA,2022-02-05,143.0,99.0,27.0,29.0,41.0,37
1,SCO,ENG,2022-02-05,85.0,56.0,27.0,26.0,31.0,20
1,ENG,SCO,2022-02-05,107.0,76.0,26.0,30.0,31.0,17
2,WAL,IRE,2022-02-05,148.0,71.0,14.0,12.0,29.0,7
2,IRE,WAL,2022-02-05,229.0,114.0,19.0,34.0,30.0,29
3,IRE,FRA,2022-02-12,132.0,82.0,24.0,18.0,39.0,24
3,FRA,IRE,2022-02-12,109.0,79.0,26.0,21.0,39.0,30
4,ITA,IRE,2022-02-12,67.0,67.0,21.0,14.0,33.0,6
4,IRE,ITA,2022-02-12,208.0,101.0,15.0,18.0,33.0,57
5,SCO,WAL,2022-02-12,163.0,110.0,27.0,18.0,36.0,17
5,WAL,SCO,2022-02-12,139.0,100.0,29.0,25.0,37.0,20
6,ITA,ENG,2022-02-13,112.0,68.0,22.0,26.0,35.0,0
6,ENG,ITA,2022-02-13,189.0,110.0,21.0,21.0,34.0,33
7,ENG,WAL,2022-02-26,146.0,105.0,18.0,21.0,35.0,23
7,WAL,ENG,2022-02-26,217.0,120.0,21.0,31.0,35.0,19
8,ENG,IRE,2022-03-12,65.0,46.0,20.0,31.0,30.0,15
8,IRE,ENG,2022-03-12,184.0,83.0,19.0,19.0,30.0,32
9,FRA,WAL,2022-03-12,83.0,70.0,31.0,23.0,42.0,13
9,WAL,FRA,2022-03-12,145.0,91.0,24.0,16.0,42.0,9
10,ENG,FRA,2022-03-19,130.0,87.0,17.0,23.0,33.0,13
10,FRA,ENG,2022-03-19,96.0,65.0,28.0,18.0,33.0,25
11,AUS,ENG,2022-07-02,98.0,71.0,22.0,23.0,30.0,30
11,ENG,AUS,2022-07-02,132.0,81.0,16.0,25.0,30.0,28
12,IRE,NZ,2022-07-02,189.0,113.0,24.0,29.0,33.0,19
12,NZ,IRE,2022-07-02,112.0,79.0,20.0,27.0,32.0,42
13,ARG,SCO,2022-07-02,112.0,68.0,19.0,27.0,24.0,26
13,SCO,ARG,2022-07-02,78.0,57.0,16.0,22.0,25.0,18
14,SA,WAL,2022-07-02,113.0,88.0,19.0,30.0,29.0,32
14,WAL,SA,2022-07-02,52.0,56.0,17.0,16.0,30.0,29
15,AUS,ENG,2022-07-09,110.0,62.0,30.0,18.0,44.0,17
15,ENG,AUS,2022-07-09,87.0,79.0,21.0,23.0,44.0,25
16,IRE,NZ,2022-07-09,135.0,76.0,23.0,28.0,26.0,23
16,NZ,IRE,2022-07-09,136.0,103.0,14.0,27.0,26.0,12
17,SCO,ARG,2022-07-09,100.0,83.0,20.0,24.0,30.0,29
17,ARG,SCO,2022-07-09,126.0,86.0,14.0,15.0,29.0,6
18,SA,WAL,2022-07-09,102.0,75.0,14.0,21.0,29.0,12
18,WAL,SA,2022-07-09,104.0,52.0,18.0,22.0,28.0,13
19,AUS,ENG,2022-07-16,186.0,104.0,23.0,23.0,29.0,17
19,ENG,AUS,2022-07-16,52.0,41.0,20.0,19.0,29.0,21
