Penalty Goal Attempt,Kick for Position,Kick for Touch,Pick and Go Short,Passing Play,Pick and Go Long,,filter
6,386,505,100,52,9,299,"Zone == ""Own 22"""
14,518,407,397,229,59,736,"Zone == ""Own 50"""
159,37,205,383,285,117,406,"Zone == ""Opp 50"""
107,,150,177,58,51,314,"Zone == ""Opp 22"""
31,119,180,131,65,29,219,"teamAttack == ""AUS"""
19,54,99,63,45,14,111,"teamAttack == ""ITA"""
34,40,144,122,52,12,223,"teamAttack == ""SA"""
18,107,112,77,40,17,144,"teamAttack == ""SCO"""
50,113,122,128,73,25,203,"teamAttack == ""ENG"""
25,104,152,100,102,39,181,"teamAttack == ""IRE"""
26,112,108,125,72,27,178,"teamAttack == ""WAL"""
29,114,87,70,44,17,118,"teamAttack == ""FRA"""
22,93,102,111,57,33,155,"teamAttack == ""NZ"""
25,68,120,101,43,21,166,"teamAttack == ""ARG"""
1,4,12,5,11,,14,"teamAttack == ""JAP"""
3,9,17,9,14,1,21,"teamAttack == ""CANES"""
3,4,12,15,6,1,23,"teamAttack == ""REDS"""
60,112,160,120,77,26,254,"teamDefense == ""AUS"""
10,52,84,69,60,19,97,"teamDefense == ""ITA"""
27,81,126,102,52,17,172,"teamDefense == ""SA"""
26,81,101,79,47,23,136,"teamDefense == ""SCO"""
16,137,146,108,64,25,190,"teamDefense == ""ENG"""
32,103,122,130,71,26,182,"teamDefense == ""IRE"""
44,115,133,140,68,28,192,"teamDefense == ""WAL"""
21,93,91,79,50,21,125,"teamDefense == ""FRA"""
21,70,135,88,58,23,170,"teamDefense == ""NZ"""
22,75,127,106,44,22,179,"teamDefense == ""ARG"""
1,9,13,12,13,4,15,"teamDefense == ""JAP"""
3,4,12,15,6,1,23,"teamDefense == ""CANES"""
3,9,17,9,14,1,21,"teamDefense == ""REDS"""
7,42,36,39,19,4,68,time_bin == 0.0
23,71,57,61,39,18,98,time_bin == 5.0
24,56,70,66,42,14,122,time_bin == 10.0
29,75,113,72,41,8,135,time_bin == 15.0
26,52,75,68,44,17,129,time_bin == 20.0
19,68,70,71,33,6,102,time_bin == 25.0
16,39,87,59,38,17,112,time_bin == 30.0
16,67,73,56,35,18,108,time_bin == 35.0
11,40,74,60,34,19,85,time_bin == 40.0
19,53,61,66,37,18,78,time_bin == 45.0
18,48,95,66,39,14,111,time_bin == 50.0
9,66,78,66,24,10,112,time_bin == 55.0
18,83,92,59,55,16,121,time_bin == 60.0
12,45,77,68,37,9,93,time_bin == 65.0
10,58,75,63,34,12,102,time_bin == 70.0
11,54,73,53,30,14,96,time_bin == 75.0
4,24,55,44,31,16,63,time_bin == 80.0
14,,6,20,12,6,21,time_bin == 85.0
102,447,483,410,278,102,642,"(Comp == ""6 Nations 2022"") | (Comp == ""6 Nations 2023"")"
70,178,257,246,113,50,377,"(Comp == ""Winter 2022"")"
64,177,339,258,122,51,468,"(Comp == ""TRC 2022"")"
44,126,159,119,91,31,225,"(Comp == ""Autumn 2022"")"
6,13,29,24,20,2,44,"(Comp == ""Super 2023"")"
,75,56,371,224,107,605,"(Origin == ""Lineout"")"
,64,31,96,89,26,290,"(Origin == ""Scrum"")"
286,22,781,22,6,5,78,"(Origin == ""Penalty"")"
,453,182,347,146,59,332,"(Origin == ""Kick fielded"")"
